prometheus_operator_syncs,12
prometheus_tsdb_wal_segment_current,4
alertmanager_http_concurrency_limit_exceeded_total,6
kube_statefulset_status_update_revision,4
prometheus_rule_group_interval_seconds,100
apiserver_response_sizes_count,360
node_netstat_Udp6_SndbufErrors,6
prometheus_operator_build_info,2
workqueue_unfinished_work_seconds,38
cluster_quantile:apiserver_request_duration_seconds:histogram_quantile,748
kube_service_created,24
prometheus_sd_file_read_errors_total,4
prometheus_tsdb_compaction_duration_seconds_bucket,44
prometheus_tsdb_wal_writes_failed_total,4
alertmanager_http_response_size_bytes_sum,30
container_memory_failures_total,928
kubelet_cgroup_manager_duration_seconds_sum,18
node_network_receive_compressed_total,70
apiserver_requested_deprecated_apis,16
grafana_api_dashboard_save_milliseconds_sum,2
node_intr_total,6
node_netstat_IpExt_OutOctets,6
node_network_name_assign_type,52
apiserver_flowcontrol_read_vs_write_request_count_samples_count,4
node_network_receive_drop_total,70
node_sockstat_TCP_mem_bytes,6
container_threads,232
kube_pod_init_container_status_running,12
node_memory_HugePages_Free,6
node_network_dormant,70
prometheus_sd_discovered_targets,64
apiserver_admission_step_admission_duration_seconds_bucket,108
kube_storageclass_created,2
kubelet_docker_operations_total,66
kubelet_pod_start_duration_seconds_count,6
node_netstat_Ip6_InOctets,6
alertmanager_dispatcher_alert_processing_duration_seconds_sum,6
go_memstats_last_gc_time_seconds,36
grafana_api_dashboard_get_milliseconds_count,2
node_netstat_Tcp_ActiveOpens,6
prometheus_tsdb_wal_completed_pages_total,4
kubelet_http_inflight_requests,20
node_memory_Committed_AS_bytes,6
node_timex_pps_stability_exceeded_total,6
prometheus_tsdb_compaction_populating_block,4
cadvisor_version_info,6
kubelet_pleg_relist_duration_seconds_sum,6
node_netstat_Icmp_InErrors,6
prometheus_sd_failed_configs,8
container_fs_reads_merged_total,30
net_conntrack_listener_conn_closed_total,4
prometheus_tsdb_size_retentions_total,4
prometheus_tsdb_wal_corruptions_total,4
workqueue_work_duration_seconds_count,38
container_ulimits_soft,6
kube_pod_created,56
prometheus_tsdb_compaction_duration_seconds_count,4
prometheus_tsdb_isolation_high_watermark,4
prometheus_web_federation_errors_total,4
kube_namespace_labels,10
node_memory_Mapped_bytes,6
node_netstat_Tcp_RetransSegs,6
prometheus_operator_kubernetes_client_rate_limiter_duration_seconds_count,4
ssh_tunnel_open_count,2
authentication_duration_seconds_count,4
kube_pod_status_scheduled,168
kubelet_runtime_operations_errors_total,8
node_vmstat_pgpgin,6
prometheus_tsdb_vertical_compactions_total,4
prometheus_tsdb_compactions_skipped_total,4
prometheus_tsdb_head_series_not_found_total,4
promhttp_metric_handler_requests_total,48
apiserver_request_duration_seconds_bucket,8294
grafana_stat_totals_active_editors,2
kube_secret_created,66
node_load1,6
node_sockstat_UDP_inuse,6
alertmanager_oversize_gossip_message_duration_seconds_sum,12
coredns_forward_healthcheck_broken_total,4
kube_pod_info,56
prometheus_remote_storage_pending_samples,4
prometheus_treecache_zookeeper_failures_total,4
apiserver_flowcontrol_read_vs_write_request_count_watermarks_bucket,96
apiserver_request_terminations_total,2
apiserver_watch_events_sizes_sum,72
node_memory_WritebackTmp_bytes,6
alertmanager_cluster_failed_peers,6
instance_device:node_disk_io_time_weighted_seconds:rate1m,12
kube_statefulset_status_replicas,4
net_conntrack_dialer_conn_closed_total,72
node_scrape_collector_success,228
kube_pod_container_status_terminated,84
alertmanager_cluster_messages_received_total,12
kube_secret_labels,66
kubelet_runtime_operations_total,104
alertmanager_oversize_gossip_message_duration_seconds_count,12
kube_configmap_created,62
node_sockstat_sockets_used,6
grpc_client_msg_received_total,2
kubelet_pod_worker_start_duration_seconds_sum,6
plugin_manager_total_plugins,12
prometheus_remote_storage_highest_timestamp_in_seconds,4
promhttp_metric_handler_errors_total,12
kube_pod_init_container_status_waiting,12
kubelet_pleg_discard_events,6
node_memory_Cached_bytes,6
node_memory_VmallocUsed_bytes,6
prometheus_operator_reconcile_errors_total,6
container_fs_limit_bytes,30
node_disk_writes_completed_total,12
node_timex_pps_stability_hertz,6
prometheus_sd_kubernetes_workqueue_work_duration_seconds_count,4
node_memory_Writeback_bytes,6
prometheus_http_request_duration_seconds_count,12
alertmanager_nflog_gc_duration_seconds_sum,6
apiserver_admission_controller_admission_duration_seconds_sum,84
grafana_api_user_signup_started_total,2
kubelet_http_requests_duration_seconds_bucket,240
kubelet_runtime_operations_duration_seconds_bucket,1248
:node_memory_MemAvailable_bytes:sum,2
process_resident_memory_bytes,36
prometheus_tsdb_head_active_appenders,4
apiserver_response_sizes_bucket,2880
container_memory_swap,232
container_network_receive_packets_dropped_total,58
node_netstat_Ip6_OutOctets,6
node_sockstat_RAW_inuse,6
prometheus_rule_evaluation_duration_seconds,12
prometheus_tsdb_compaction_chunk_range_seconds_count,4
container_spec_cpu_shares,232
coredns_health_request_duration_seconds_count,4
kube_statefulset_created,4
node_vmstat_oom_kill,6
prometheus_engine_query_log_failures_total,4
coredns_dns_response_size_bytes_count,8
prometheus_operator_reconcile_sts_delete_create_total,6
prometheus_tsdb_mmap_chunk_corruptions_total,4
prometheus_tsdb_tombstone_cleanup_seconds_bucket,48
alertmanager_silences_snapshot_duration_seconds_count,6
apiserver_longrunning_gauge,146
go_memstats_mspan_sys_bytes,36
node_memory_Mlocked_bytes,6
prometheus_sd_received_updates_total,8
alertmanager_integrations,6
apiserver_storage_data_key_generation_duration_seconds_sum,10
grafana_alerting_active_alerts,2
prometheus_notifications_queue_length,4
watch_cache_capacity_decrease_total,2
apiserver_request_total,934
container_last_seen,232
kube_replicaset_created,12
node_netstat_Udp6_RcvbufErrors,6
node_textfile_scrape_error,6
authentication_attempts,4
kubelet_certificate_manager_server_ttl_seconds,6
kubelet_pleg_relist_duration_seconds_bucket,72
prometheus_tsdb_head_gc_duration_seconds_count,4
prometheus_http_response_size_bytes_count,12
prometheus_rule_group_last_duration_seconds,100
alertmanager_build_info,6
alertmanager_silences_gossip_messages_propagated_total,6
kube_replicaset_labels,12
prometheus_engine_queries,4
alertmanager_cluster_messages_queued,6
grafana_api_models_dashboard_insert_total,2
kube_pod_status_scheduled_time,56
prometheus_sd_updates_total,8
go_info,36
grafana_api_dashboard_save_milliseconds,6
kube_pod_labels,56
kube_poddisruptionbudget_status_current_healthy,4
node_memory_SReclaimable_bytes,6
prometheus_remote_storage_shards_min,4
prometheus_tsdb_time_retentions_total,4
rest_client_exec_plugin_ttl_seconds,8
workqueue_adds_total,38
prometheus_target_scrape_pools_total,4
container_spec_memory_reservation_limit_bytes,232
grpc_client_started_total,12
prometheus_rule_evaluations_total,100
prometheus_tsdb_head_gc_duration_seconds_sum,4
prometheus_wal_watcher_records_read_total,8
apiserver_envelope_encryption_dek_cache_fill_percent,4
grafana_api_user_signup_completed_total,2
